Spitalul de Pneumoftiziologie Runcu Consiliul Judetean Gorj,,,,,,,,
Capitol,Subcapitol,Paragraf,Grupa/Titlu,,2011 Realizări,2012 Program,2012 Program perioadă **),Realizat până la data  08/2012
A,,,,B,1,2,3,4
,,,,TOTAL VENITURI ***),8 297 583.00,8 238 660.00,6 156 660.00,6 015 160.00
,,,,I. VENITURI CURENTE,7 935 661.00,7 938 660.00,5 856 660.00,6 015 160.00
,,,,C VENITURI NEFISCALE,7 935 661.00,7 938 660.00,5 856 660.00,6 015 160.00
30,,,,C1. VENITURI DIN PROPRIETATE,33 886.00,20 600.00,15 450.00,55 493.00
,05,,,Venituri din concesiuni si inchirieri,,,,
,50,,,Alte venituri din proprietate,,,,
31,10,03,,Alte venituri din dobanzi,,,,
,,,,C2. VANZARI DE BUNURI SI SERVICII,7 901 775.00,7 918 060.00,5 841 210.00,5 959 667.00
33,,,,VENITURI DIN PRESTARI DE SERVICII SI ALTE ACTIVITATI,7 901 775.00,7 918 060.00,5 841 210.00,5 959 667.00
,08,,,Venituri din prestari de servicii,,,,
,16,,,Venituri din valorificarea produselor obtinute din activitatea proprie sau anexa,,,,
,20,,,Venituri din cercetare,,,,
,21,,,Venituri din contractele cu casele de asigurari de sanatate,,,,
,30,,,Venituri din contractele incheiate cu directiile de sanatate publica din sume alocate de la bugetul de stat,,,,
,31,,,Venituri din contractele incheiate cu directiile de sanatate publica din sume alocate din veniturile proprii ale Ministerului Sanatatii,,,,
,32,,,Venituri din contractele incheiate cu Institutele de medicina legala din sume alocate de la bugetul de stat,,,,
,50,,,Alte venituri din prestari de servicii si alte activitati,,,,
36,,,,DIVERSE VENITURI,0.00,0.00,0.00,0.00
,32,01,,Sume provenite din finantarea bugetara a anilor precedenti,,,,
,32,03,,"Sume provenite din finantarea bugetara a anilor precedenti, aferente sectiunii de functionare",,,,
37,,,,TRANSFERURI VOLUNTARE ALTELE DECAT SUBVENTIILE,0.00,0.00,0.00,0.00
,01,,,Donatii si sponsorizari,,,,
,03,,,Varsaminte din sectiunea de functionare pentru finantarea sectiunii de dezvoltare a bugetului local,,,,
,04,,,Varsaminte din sectiunea de functionare,,,,
