Spitalul Municipal Turda Consiliul Local Turda,,,,,,,,
Capitol,Subcapitol,Paragraf,Grupa/Titlu,,2012 Realizări,2013 Program,2013 Program perioadă **),Realizat până la data  03/2013
A,,,,B,1,2,3,4
,,,,TOTAL VENITURI ***),20 567.67,21 365.00,7 951.59,5 145.42
,,,,I. VENITURI CURENTE,20 564.06,21 365.00,7 949.77,5 143.60
,,,,C VENITURI NEFISCALE,20 564.06,21 365.00,7 949.77,5 143.60
30,,,,C1. VENITURI DIN PROPRIETATE,8.97,12.00,12.51,7.38
,05,,,Venituri din concesiuni si inchirieri,,,,
,50,,,Alte venituri din proprietate,,,,
31,10,03,,Alte venituri din dobanzi,,,,
,,,,C2. VANZARI DE BUNURI SI SERVICII,20 555.09,21 353.00,7 937.26,5 136.22
33,,,,VENITURI DIN PRESTARI DE SERVICII SI ALTE ACTIVITATI,20 530.86,21 350.00,7 934.15,5 133.11
,08,,,Venituri din prestari de servicii,,,,
,16,,,Venituri din valorificarea produselor obtinute din activitatea proprie sau anexa,,,,
,20,,,Venituri din cercetare,,,,
,21,,,Venituri din contractele cu casele de asigurari de sanatate,,,,
,30,,,Venituri din contractele incheiate cu directiile de sanatate publica din sume alocate de la bugetul de stat,,,,
,31,,,Venituri din contractele incheiate cu directiile de sanatate publica din sume alocate din veniturile proprii ale Ministerului Sanatatii,,,,
,32,,,Venituri din contractele incheiate cu Institutele de medicina legala din sume alocate de la bugetul de stat,,,,
,50,,,Alte venituri din prestari de servicii si alte activitati,,,,
36,,,,DIVERSE VENITURI,0.00,0.00,0.00,0.00
,32,01,,Sume provenite din finantarea bugetara a anilor precedenti,,,,
,32,03,,"Sume provenite din finantarea bugetara a anilor precedenti, aferente sectiunii de functionare",,,,
37,,,,TRANSFERURI VOLUNTARE ALTELE DECAT SUBVENTIILE,24.23,3.00,3.11,3.11
,01,,,Donatii si sponsorizari,,,,
