Spitalul Clinic de Psihiatrie Socola,,,,,,,,
Capitol,Subcapitol,Paragraf,Grupa/Titlu,,2014 Realizări,2015 Program,2015 Program perioadă **),Realizat până la data  06/2015
A,,,,B,1,2,3,4
,,,,TOTAL VENITURI ***),52 623.17,48 049.52,31 373.72,26 074.78
,,,,I. VENITURI CURENTE,46 552.35,41 240.42,27 225.62,23 107.40
,,,,C VENITURI NEFISCALE,46 552.35,41 240.42,27 225.62,23 107.40
30,,,,C1. VENITURI DIN PROPRIETATE,67.74,69.01,50.01,15.68
,05,,,Venituri din concesiuni si inchirieri,,,,
,50,,,Alte venituri din proprietate,,,,
31,10,03,,Alte venituri din dobanzi,,,,
,,,,C2. VANZARI DE BUNURI SI SERVICII,46 484.61,41 171.41,27 175.61,23 091.72
33,,,,VENITURI DIN PRESTARI DE SERVICII SI ALTE ACTIVITATI,46 477.61,41 171.41,27 175.61,23 091.72
,08,,,Venituri din prestari de servicii,,,,
,16,,,Venituri din valorificarea produselor obtinute din activitatea proprie sau anexa,,,,
,20,,,Venituri din cercetare,,,,
,21,,,Venituri din contractele cu casele de asigurari de sanatate,,,,
,30,,,Venituri din contractele incheiate cu directiile de sanatate publica din sume alocate de la bugetul de stat,,,,
,31,,,Venituri din contractele incheiate cu directiile de sanatate publica din sume alocate din veniturile proprii ale Ministerului Sanatatii,,,,
,32,,,Venituri din contractele incheiate cu Institutele de medicina legala din sume alocate de la bugetul de stat,,,,
,50,,,Alte venituri din prestari de servicii si alte activitati,,,,
36,,,,DIVERSE VENITURI,0.00,0.00,0.00,0.00
,32,01,,Sume provenite din finantarea bugetara a anilor precedenti,,,,
,32,03,,"Sume provenite din finantarea bugetara a anilor precedenti, aferente sectiunii de functionare",,,,
37,,,,TRANSFERURI VOLUNTARE ALTELE DECAT SUBVENTIILE,7.00,0.00,0.00,0.00
,01,,,Donatii si sponsorizari,,,,
