Academia Româna Spitalul Universitar de Urgenta “Elias”,
Centru de recuperare ACASA,
Centrul de Boli Reumatismale Ion Stoia,
Centrul de Evaluare si Tratament a Toxicodependentelor Primaria Municipiului Bucuresti,
Centrul de Sanatate RATB,
Centrul Medical Clinic de Recuperare Neuropsihomotorie Copii Dr. N. Robanescu,
Centrul Medical de Evaluare si Recuperare pentru Copii si Tineri Cristian Serban Buzias,
Institutul Clinic de Urologie si Transplant Renal,
Institutul Clinic Fundeni,
Institutul de Boli Cardiovasculare prof. dr. G. I. M. Georgescu,
Institutul de Boli Cardiovasculare Timisoara,
Institutul de Fonoaudiologie si Chirurgie Functionala ORL Prof. Dr. Dorin Hociota,
Institutul de Pneumoftiziologie Marius Nasta,
Institutul de Urgenta pentru Boli Cardiovasculare prof. dr. C.C. Iliescu,
Institutul de Urgenta pentru Boli Cardiovasculare si Transplant Targu Mures,
Institutul Inimii de Urgenta pentru Boli Cardiovasculare N. Stancioiu,
Institutul National de Boli Infectioase prof. dr. Matei Bals,
"Institutul National de Diabet, Nutritie si Boli Metabolice N.C. Paulescu",
Institutul National de Endocrinologie CI Parhon,
Institutul National de Geriatrie si Gerontologie Ana Aslan,
Institutul National de Neurologie si Boli Neurovasculare,
"Institutul National de Recuperare, Medicina Fizica si Balneoclimatologie",
Institutul Oncologic prof. dr. Al. Trestioreanu,
Institutul Oncologic prof. dr. I. Chiricuta,
Institutul pentru Ocrotirea Mamei si Copilului prof. Dr. A. Rusescu,
Institutul Regional de Gastroenterologie-Hepatologie Prof. dr. Octavian Fodor Cluj,
Institutul Regional de Oncologie Iasi,
"Ministerul Administratiei si Internelor Spitalul Clinic de Urgenta Avram Iancu, Oradea",
Ministerul Apararii Nationale Spitalul Militar de Urgenta Dr. Alexandru Popescu- Focsani,
Ministerul Apararii Nationale Spitalul Clinic de Urgenta de Boli Cardiovasculare “Äcademician Vasile Candea”- Bucuresti,
Ministerul Apararii Nationale Sanatoriul Baltatesti,800
Ministerul Apararii Nationale Spitalul Universitar de Urgenta Militar Central “Dr. Carol Davila” - Bucuresti,
Ministerul Apararii Nationale Spitalul Militar de Urgenta “Regina Maria” - Brasov,715
Ministerul Apararii Nationale Spitalul Militar de Urgenta “Dr. Constantin Papilian” – Cluj Napoca,
Ministerul Apararii Nationale Spitalul Militar de Urgenta “Cr. Alexandru Gafencu”- Constanta,717
Ministerul Apararii Nationale Spitalul Clinic Militar de Urgenta “Dr. Stefan Odobleja”- Craiova,718
Ministerul Apararii Nationale Spitalul Militar de Urgenta “Dr. Aristide Serfioti”- Galati,720
